
# Efinity Pinout Report
# Version: 2023.2.307.1.14
# Date: 2024-02-08 11:48

# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.

# Device: Ti180J484
# Package status: final
# Project: soc
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
R6,MIPI1_TXDP4,,,BL,3.3 V,,,
R7,VCC18A_MIPI0_1_TX,,Power,BL,3.3 V,,,1.8 V MIPI TX Power
R8,VCC,,Power,,,,,0.95 V VCC Power
R9,GND,,Power,,,,,Ground
R10,VDD_PHY,,Power,DDR,,,,
R11,VDD_PHY,,Power,DDR,,,,
R12,GND,,Power,,,,,Ground
R13,VDD_PHY,,Power,DDR,,,,
R14,GND,,Power,,,,,Ground
R15,VCC,,Power,,,,,0.95 V VCC Power
R16,VCC,,Power,,,,,0.95 V VCC Power
R17,VCC18A_MIPI2_3_TX,,Power,TL,3.3 V,,,1.8 V MIPI TX Power
R18,MIPI3_TXDP4,,,TL,3.3 V,,,
R19,MIPI3_TXDN4,,,TL,3.3 V,,,
R20,MIPI3_TXDP1,,,TL,3.3 V,,,
R21,MIPI3_RXDN4,,,TL,3.3 V,,,
R22,MIPI3_RXDP4,,,TL,3.3 V,,,
T1,MIPI1_RXDN3,,,BL,3.3 V,,,
T2,MIPI1_RXDP4,,,BL,3.3 V,,,
T3,MIPI1_RXDN4,,,BL,3.3 V,,,
T4,MIPI1_TXDN2,,,BL,3.3 V,,,
T5,VCC18A_MIPI0_1_RX,,Power,BL,3.3 V,,,1.8 V MIPI RX Power
T6,MIPI1_TXDP1,,,BL,3.3 V,,,
T7,MIPI1_TXDN1,,,BL,3.3 V,,,
T8,VCC,,Power,,,,,0.95 V VCC Power
T9,VDDQ_PHY,,Power,DDR,,,,
T10,VDD_PHY,,Power,DDR,,,,
T11,VDDPLL_MCB_TOP_PHY,,Power,DDR,,,,
T12,VDDQ_CK_PHY,,Power,DDR,,,,
T13,VDD_PHY,,Power,DDR,,,,
T14,VDDQ_PHY,,Power,DDR,,,,
T15,GND,,Power,,,,,Ground
T16,VCC,,Power,,,,,0.95 V VCC Power
T17,MIPI3_TXDN0,,,TL,3.3 V,,,
T18,MIPI3_TXDP0,,,TL,3.3 V,,,
T19,VCC18A_MIPI2_3_RX,,Power,TL,3.3 V,,,1.8 V MIPI RX Power
T20,MIPI3_TXDN1,,,TL,3.3 V,,,
T21,MIPI3_RXDN3,,,TL,3.3 V,,,
T22,MIPI3_RXDP3,,,TL,3.3 V,,,
U1,MIPI1_RXDP3,,,BL,3.3 V,,,
U2,GND,,Power,,,,,Ground
U3,MIPI1_RXDP1,,,BL,3.3 V,,,
U4,MIPI1_RXDN1,,,BL,3.3 V,,,
U5,MIPI1_RXDP2,,,BL,3.3 V,,,
U6,MIPI1_RXDN2,,,BL,3.3 V,,,
U7,VCC,,Power,,,,,0.95 V VCC Power
U8,VCC,,Power,,,,,0.95 V VCC Power
U9,VDDQ_PHY,,Power,DDR,,,,
U10,GND,,Power,,,,,Ground
U11,VDDQX_PHY,,Power,DDR,,,,
U12,GND,,Power,,,,,Ground
U13,VDDQX_PHY,,Power,DDR,,,,
U14,GND,,Power,,,,,Ground
U15,VDDQ_PHY,,Power,DDR,,,,
U16,VCC,,Power,,,,,0.95 V VCC Power
U17,MIPI3_RXDP1,,,TL,3.3 V,,,
U18,MIPI3_RXDN1,,,TL,3.3 V,,,
U19,MIPI3_RXDN2,,,TL,3.3 V,,,
U20,MIPI3_RXDP2,,,TL,3.3 V,,,
U21,GND,,Power,,,,,Ground
U22,MIPI3_RXDN0,,,TL,3.3 V,,,
V1,MIPI1_RXDN0,,,BL,3.3 V,,,
V2,MIPI1_RXDP0,,,BL,3.3 V,,,
V3,GND,,Power,,,,,Ground
V4,VDDQ_PHY,,Power,DDR,,,,
V5,GND,,Power,,,,,Ground
V6,VDDQ_PHY,,Power,DDR,,,,
V7,GND,,Power,,,,,Ground
